Species_rep	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-01592	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	
MGYG-HGUT-01593	Firmicutes_A	Clostridia	Christensenellales	Christensenellaceae	Catabacter	Catabacter hongkongensis
MGYG-HGUT-01590	Desulfobacterota_A	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
MGYG-HGUT-02534	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter farmeri
MGYG-HGUT-02596	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	
MGYG-HGUT-01591	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides timonensis
MGYG-HGUT-01350	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
MGYG-HGUT-00923	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-01601	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii
MGYG-HGUT-01602	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
MGYG-HGUT-01595	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
MGYG-HGUT-01603	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
MGYG-HGUT-00924	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	An172	An172 sp002160515
MGYG-HGUT-04021	Bacteroidota	Bacteroidia	Bacteroidales	UBA11471	UBA11471	
MGYG-HGUT-04464	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	
MGYG-HGUT-01297	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli
MGYG-HGUT-01599	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-01604	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella sp002159975
MGYG-HGUT-01597	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA866	
MGYG-HGUT-01598	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
MGYG-HGUT-01596	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
MGYG-HGUT-02622	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-01605	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	
MGYG-HGUT-01628	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01631	Desulfobacterota_A	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	
MGYG-HGUT-00925	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01634	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035
MGYG-HGUT-01635	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	KLE1796	
